frame_name,n_vertices,n_triangles,t_feat_s,t_infer_cpu_s,t_infer_gpu_s,t_nn8_total_cpu_s,t_nn8_total_gpu_s,t_bem_assemble_s,t_bem_solve_s,t_bem_total_s
bub_0101.obj,492,980,0.00743920000968501,0.00013171800004784017,0.00029601400019600986,0.00757091800973285,0.007735214009881019,0.8717933999723755,0.010750300018116832,0.8825436999904923
bub_0102.obj,492,980,0.007258899975568056,0.00014887900033500046,0.0002926470001693815,0.0074077789759030566,0.007551546975737438,0.8695891999523155,0.010886500007472932,0.8804756999597885
bub_0103.obj,492,980,0.0072747000376693904,0.0001329150004312396,0.00029328000033274293,0.00740761503810063,0.007567980038002134,0.8725387000013143,0.010968099988531321,0.8835067999898456
bub_0104.obj,492,980,0.0072481000097468495,0.00012927600007969886,0.0002944720000959933,0.007377376009826548,0.007542572009842843,0.9296336999977939,0.011185600014869124,0.940819300012663
bub_0105.obj,492,980,0.007333700021263212,0.00013188100012484938,0.0002927210001507774,0.007465581021388061,0.007626421021413989,0.7673247000202537,0.011126299970783293,0.778450999991037
bub_0106.obj,492,980,0.007384099997580051,0.00013333800015971064,0.0002928800001973286,0.007517437997739762,0.00767697999777738,0.7521543999901041,0.011837099969852716,0.7639914999599569
bub_0107.obj,492,980,0.007051199965644628,0.00013544299989007413,0.0002914880000753328,0.007186642965534702,0.00734268796571996,0.7564256000332534,0.010992399998940527,0.767418000032194
bub_0108.obj,492,980,0.007122599985450506,0.00012946800037752837,0.00029510000022128227,0.007252067985828035,0.007417699985671789,0.6852306999498978,0.011231800017412752,0.6964624999673106
bub_0109.obj,492,980,0.007217499951366335,0.0002544310002122074,0.000296675999998115,0.007471930951578542,0.0075141759513644504,0.7148622000240721,0.011257399979513139,0.7261196000035852
bub_0110.obj,492,980,0.00711609999416396,0.000135833999956958,0.0003023530001519248,0.007251933994120918,0.007418452994315885,0.6831827000132762,0.011071599961724132,0.6942542999750003
bub_0111.obj,492,980,0.007276899996213615,0.00012994299991987647,0.0002965360000962392,0.007406842996133491,0.007573435996309854,0.7069540999946184,0.011113199987448752,0.7180672999820672
bub_0112.obj,492,980,0.007202800014056265,0.00013358199968934058,0.00029370600008405746,0.007336382013745606,0.007496506014140323,0.6975377000053413,0.011827400012407452,0.7093651000177488
bub_0113.obj,492,980,0.007229000038933009,0.0002484219998586923,0.00029814500012435017,0.007477422038791701,0.007527145039057359,0.712444200005848,0.011312999995425344,0.7237572000012733
