path,bub_id,frame,n_vertices,f_hz_bem,f_hz_nn8_10k,f_hz_poly2
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02800.obj,1,02800,5004,5.654971868520698,5.60461037,5.76927274
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02850.obj,1,02850,4988,5.674427054376994,5.61123537,5.79992602
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02900.obj,1,02900,5012,5.688298979863556,5.62296761,5.80614637
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_02950.obj,1,02950,4882,5.702575992673656,5.63258674,5.7897967
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03000.obj,1,03000,4832,5.694001167587716,5.62040493,5.73864843
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03050.obj,1,03050,4740,5.685983588103623,5.62138791,5.71314472
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03100.obj,1,03100,4512,5.672318620693916,5.62887547,5.68060045
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03150.obj,1,03150,4308,5.668947500710492,5.63182536,5.68224682
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03200.obj,1,03200,4428,5.658182456136844,5.61769676,5.68213913
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03250.obj,1,03250,4462,5.654561041497409,5.61165814,5.68038046
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03300.obj,1,03300,4434,5.656251466361507,5.61219467,5.68520023
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03350.obj,1,03350,4486,5.667025336072088,5.61602146,5.69262484
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03400.obj,1,03400,4536,5.6832723811168435,5.62479585,5.70246491
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03450.obj,1,03450,4692,5.707621302710734,5.64079052,5.73030494
<bubblegym-data>/results/selected-dataMR3D_single_bubble_dx2p00mm_v6_rollL/ppm_ve_home_test_phi_iter/mc_surface_per_bubble_smoothed_lap3/bub_1/frame_03500.obj,1,03500,4892,5.729756124009433,5.65775865,5.76685531
