path,n_vertices
<mesh-tree>/bub_1/frame_11100.obj,6008
<mesh-tree>/bub_1/frame_11150.obj,5944
<mesh-tree>/bub_1/frame_11200.obj,5976
<mesh-tree>/bub_1/frame_11250.obj,6008
<mesh-tree>/bub_1/frame_11300.obj,6210
<mesh-tree>/bub_1/frame_11350.obj,6322
<mesh-tree>/bub_1/frame_11400.obj,6392
<mesh-tree>/bub_1/frame_11450.obj,6384
<mesh-tree>/bub_1/frame_11500.obj,6356
<mesh-tree>/bub_1/frame_11550.obj,6442
<mesh-tree>/bub_1/frame_11600.obj,6558
<mesh-tree>/bub_1/frame_11650.obj,6452
<mesh-tree>/bub_1/frame_11700.obj,6364
<mesh-tree>/bub_1/frame_11750.obj,6306
<mesh-tree>/bub_1/frame_11800.obj,6218
<mesh-tree>/bub_1/frame_11850.obj,6268
<mesh-tree>/bub_1/frame_11900.obj,6212
<mesh-tree>/bub_1/frame_11950.obj,6340
<mesh-tree>/bub_1/frame_12000.obj,6264
<mesh-tree>/bub_1/frame_12050.obj,6256
<mesh-tree>/bub_1/frame_12100.obj,6150
<mesh-tree>/bub_1/frame_12150.obj,6054
<mesh-tree>/bub_1/frame_12200.obj,6048
<mesh-tree>/bub_1/frame_12250.obj,6140
<mesh-tree>/bub_1/frame_12300.obj,6366
<mesh-tree>/bub_1/frame_12350.obj,6462
<mesh-tree>/bub_1/frame_12400.obj,6556
<mesh-tree>/bub_1/frame_12450.obj,6558
<mesh-tree>/bub_1/frame_12500.obj,6520
<mesh-tree>/bub_1/frame_12550.obj,6522
<mesh-tree>/bub_1/frame_12600.obj,6606
<mesh-tree>/bub_1/frame_12650.obj,6668
<mesh-tree>/bub_1/frame_12700.obj,6670
<mesh-tree>/bub_1/frame_12750.obj,6540
<mesh-tree>/bub_1/frame_12800.obj,6606
<mesh-tree>/bub_1/frame_12850.obj,6596
<mesh-tree>/bub_1/frame_12900.obj,6564
<mesh-tree>/bub_1/frame_12950.obj,6600
<mesh-tree>/bub_1/frame_13000.obj,6616
<mesh-tree>/bub_1/frame_13050.obj,6462
<mesh-tree>/bub_1/frame_13100.obj,6480
<mesh-tree>/bub_1/frame_13150.obj,6272
<mesh-tree>/bub_1/frame_13200.obj,6302
<mesh-tree>/bub_1/frame_13250.obj,6306
<mesh-tree>/bub_1/frame_13300.obj,6434
<mesh-tree>/bub_1/frame_13350.obj,6572
<mesh-tree>/bub_1/frame_13400.obj,6598
<mesh-tree>/bub_1/frame_13450.obj,6592
<mesh-tree>/bub_1/frame_13500.obj,6668
<mesh-tree>/bub_1/frame_13550.obj,6676
<mesh-tree>/bub_1/frame_13600.obj,6746
<mesh-tree>/bub_1/frame_13650.obj,6714
<mesh-tree>/bub_1/frame_13700.obj,6678
<mesh-tree>/bub_1/frame_13750.obj,6646
<mesh-tree>/bub_1/frame_13800.obj,6686
<mesh-tree>/bub_1/frame_13850.obj,6728
<mesh-tree>/bub_1/frame_13900.obj,6834
<mesh-tree>/bub_1/frame_13950.obj,6786
<mesh-tree>/bub_1/frame_14000.obj,6694
<mesh-tree>/bub_1/frame_14050.obj,6708
<mesh-tree>/bub_1/frame_14100.obj,6746
<mesh-tree>/bub_1/frame_14150.obj,6764
<mesh-tree>/bub_1/frame_14200.obj,6842
<mesh-tree>/bub_1/frame_14250.obj,6986
<mesh-tree>/bub_1/frame_14300.obj,7112
<mesh-tree>/bub_1/frame_14350.obj,7220
<mesh-tree>/bub_1/frame_14400.obj,7302
