k,t,f_minnaert,f_strasberg,f_nn8,f_bem
43,1.0794979079497908,256.689256130002,261.414043129218,262.9832346023038,262.605669
44,1.104602510460251,256.689256130002,260.99951835696913,262.55330704906254,262.198048
45,1.1297071129707112,256.689256130002,260.57861174221983,262.1267384072078,261.795019
46,1.1548117154811715,256.689256130002,260.2182398093843,261.75022139189394,261.441545
47,1.1799163179916319,256.689256130002,259.97033103572124,261.4696379730802,261.176081
48,1.205020920502092,256.689256130002,259.84953683665384,261.3034632719236,261.013944
49,1.2301255230125523,256.689256130002,259.83851704383454,261.24132680951533,260.947792
50,1.2552301255230125,256.689256130002,259.91277224333936,261.2632831191786,260.961364
51,1.2803347280334727,256.689256130002,260.0559541387094,261.3546785618993,261.042999
52,1.3054393305439331,256.689256130002,260.26180745660287,261.5116268085429,261.190701
53,1.3305439330543933,256.689256130002,260.53110748635305,261.73858291004024,261.410993
54,1.3556485355648535,256.689256130002,260.86514121370476,262.0449128204469,261.71149
55,1.3807531380753137,256.689256130002,261.2594962029326,262.43446113866145,262.094441
56,1.405857740585774,256.689256130002,261.70101893579096,262.90336681910793,262.553202
57,1.4309623430962344,256.689256130002,262.16522574136,263.426552619151,263.066657
58,1.4560669456066946,256.689256130002,262.62236701736646,263.9720825002506,263.605755
59,1.4811715481171548,256.689256130002,263.0427331805983,264.5028814494271,264.138467
60,1.506276150627615,256.689256130002,263.4039906627622,264.9929197822738,264.636532
61,1.5313807531380752,256.689256130002,263.694713722828,265.4323794621472,265.08398
62,1.5564853556485356,256.689256130002,263.9101697498328,265.8118482454109,265.472966
63,1.5815899581589958,256.689256130002,264.0489565283788,266.13278008980757,265.801379
64,1.606694560669456,256.689256130002,264.1145819930792,266.39712124474414,266.07258
65,1.6317991631799162,256.689256130002,264.1173213180249,266.6117580351252,266.294141
66,1.6569037656903765,256.689256130002,264.07488362892474,266.785951771925,266.47635
67,1.6820083682008369,256.689256130002,264.01061909181277,266.93257375153445,266.631376
68,1.707112970711297,256.689256130002,263.94866620121905,267.05985563696066,266.76763
69,1.7322175732217573,256.689256130002,263.9091428469516,267.17499948479616,266.891869
70,1.7573221757322175,256.689256130002,263.90551497778733,267.2756317663481,267.007036
71,1.7824267782426777,256.689256130002,263.9464095298849,267.36718621739965,267.117195
72,1.8075313807531381,256.689256130002,264.0369603980695,267.4529374004448,267.227558
73,1.8326359832635983,256.689256130002,264.1774661739638,267.5495280654448,267.345017
74,1.8577405857740585,256.689256130002,264.3719503424322,267.6545130925709,267.474466
75,1.8828451882845187,256.689256130002,264.62800214831486,267.7798089169698,267.619895
76,1.907949790794979,256.689256130002,264.9442518824864,267.9134670880767,267.77811
77,1.9330543933054394,256.689256130002,265.3040782831504,268.0502275927475,267.932335
78,1.9581589958158996,256.689256130002,265.66013946360636,268.1695067398671,268.051184
79,1.9832635983263598,256.689256130002,265.93043237307455,268.2351137080119,268.096826
80,2.00836820083682,256.689256130002,266.01123265354227,268.19735257162137,268.028859
81,2.0334728033472804,256.689256130002,265.82433640782693,268.0191380787176,267.813044
82,2.0585774058577404,256.689256130002,265.3622096010551,267.6816672455052,267.435032
83,2.083682008368201,256.689256130002,264.6919745884533,267.20000270204093,266.908876
84,2.1087866108786613,256.689256130002,263.91901637404345,266.601873830291,266.269025
85,2.1338912133891212,256.689256130002,263.14661982428026,265.93735934468697,265.567472
86,2.1589958158995817,256.689256130002,262.45348169987557,265.26678523977745,264.859233
87,2.1841004184100417,256.689256130002,261.8867338506505,264.62468298179925,264.189138
88,2.209205020920502,256.689256130002,261.4677884136619,264.0346796227376,263.586857
89,2.2343096234309625,256.689256130002,261.1994726994806,263.5012392823465,263.066288
90,2.2594142259414225,256.689256130002,261.06483478577553,263.03082827608563,262.629218
91,2.284518828451883,256.689256130002,261.0188379458524,262.63648111414483,262.274124
92,2.309623430962343,256.689256130002,260.98532688866186,262.3229551438116,261.991671
93,2.3347280334728033,256.689256130002,260.8829583574885,262.08190144520205,261.766346
94,2.3598326359832638,256.689256130002,260.6600104467313,261.8868640331973,261.572043
95,2.3849372384937237,256.689256130002,260.3150151333045,261.6940307167291,261.372938
96,2.410041841004184,256.689256130002,259.8793737995695,261.45059403506235,261.126211
97,2.435146443514644,256.689256130002,259.3942440512845,261.12192302832557,260.801238
98,2.4602510460251046,256.689256130002,258.90360492947735,260.71371647391817,260.404902
99,2.485355648535565,256.689256130002,258.4443121000186,260.2703098255611,259.986235
100,2.510460251046025,256.689256130002,258.03095010632137,259.89441456256304,259.638491
101,2.5355648535564854,256.689256130002,257.6708381572701,259.70725879272044,259.473103
102,2.5606694560669454,256.689256130002,257.4054563084061,259.7833994062384,259.56438
103,2.585774058577406,256.689256130002,257.3244663702563,260.146449938289,259.910018
104,2.6108786610878663,256.689256130002,257.52075713827196,260.7227296838197,260.437622
105,2.6359832635983262,256.689256130002,258.02276384188286,261.3765820812923,261.04891
106,2.6610878661087867,256.689256130002,258.77284631101026,262.02007963783234,261.670044
107,2.6861924686192467,256.689256130002,259.6708537898407,262.6192931957207,262.270509
108,2.711297071129707,256.689256130002,260.61865523546135,263.1686413922103,262.837805
109,2.7364016736401675,256.689256130002,261.53254019704167,263.65422771002875,263.35564
110,2.7615062761506275,256.689256130002,262.3411012520621,264.0583501744037,263.797794
111,2.786610878661088,256.689256130002,262.9919659652199,264.36856112069444,264.141021
112,2.811715481171548,256.689256130002,263.4552840106067,264.5722591878272,264.368872
113,2.8368200836820083,256.689256130002,263.72569478775824,264.66408652001957,264.473509
114,2.8619246861924688,256.689256130002,263.8164384546165,264.64357954301164,264.455154
115,2.8870292887029287,256.689256130002,263.7550842408523,264.5225576504038,264.326936
116,2.912133891213389,256.689256130002,263.572284902159,264.3175744632703,264.108565
117,2.937238493723849,256.689256130002,263.29514610765267,264.0499771037438,263.821553
118,2.9623430962343096,256.689256130002,262.94543168614774,263.735989901385,263.485349
119,2.98744769874477,256.689256130002,262.5419410279836,263.3915093225599,263.117985
120,3.01255230125523,256.689256130002,262.1042277799068,263.03236471076326,262.738826
121,3.0376569037656904,256.689256130002,261.65375086390554,262.67875127161255,262.367774
122,3.0627615062761504,256.689256130002,261.209020792424,262.3460969510279,262.020189
123,3.087866108786611,256.689256130002,260.7837930302785,262.04369453395134,261.705596
124,3.1129707112970713,256.689256130002,260.39076222122293,261.7756219134177,261.427717
125,3.1380753138075312,256.689256130002,260.0410728013087,261.5392489763397,261.185248
126,3.1631799163179917,256.689256130002,259.7442724545661,261.33059615650666,260.974493
127,3.1882845188284517,256.689256130002,259.50708684623123,261.15557473635045,260.7984
128,3.213389121338912,256.689256130002,259.33110370977283,261.03135579558926,260.670593
129,3.2384937238493725,256.689256130002,259.208495623626,260.97049733015086,260.603754
130,3.2635983263598325,256.689256130002,259.12388003051694,260.96430649217416,260.59638
131,3.288702928870293,256.689256130002,259.05938561537073,260.99560439462255,260.636942
132,3.313807531380753,256.689256130002,259.00193993741726,261.0541969389269,260.716174
133,3.3389121338912133,256.689256130002,258.9542874620221,261.1445541805199,260.836227
134,3.3640167364016738,256.689256130002,258.9340260787423,261.27798397765264,261.001227
