mesh_id,mesh_filename,source,surface_area,volume,M,W_vertex,Phi_VM,V_hull,A_hull,M_hull,eta_V,eta_A,eta_M,i00,i11,i22,frequency,f_strasberg
VOF/bubble.0163.52.obj,bubble.0163.52.obj,VOF,5.056557032584196,0.9999999999999994,8.20260899695985,15.645629112342206,0.9503749578129091,1.0014747847266854,5.058412782482462,8.202038658193331,0.9985273870603856,0.9996331359305648,1.000069536220236,0.11792042092741112,0.19284898197879347,0.1983732787961686,5.350842214,5.335055636219883
VOF/bubble.0163.53.obj,bubble.0163.53.obj,VOF,4.882214193323053,0.9999999999999992,7.871395400680422,16.578366556501393,0.9903649585139171,1.0005926842226278,4.883089771347066,7.871109646295288,0.9994076668438876,0.9998206918027288,1.000036304205884,0.14695703047474704,0.14993610930592102,0.1694100996787849,5.300145676,5.297343845343373
VOF/bubble.0163.55.obj,bubble.0163.55.obj,VOF,4.978012210448467,0.9999999999999994,8.025865094830232,20.163999427413863,0.9713039139497774,1.001888625073953,4.983133098261698,8.024429871953364,0.9981149351068695,0.998972355802614,1.000178856678888,0.14096026323047978,0.15343012094991432,0.18296936419655924,5.319584829,5.307610511952723
VOF/bubble.0163.60.obj,bubble.0163.60.obj,VOF,4.942074189997957,0.9999999999999996,7.957118795155651,14.369655892060363,0.9796955883312304,1.0001313111616457,4.942143586948337,7.957075788494604,0.9998687060787111,0.9999859581274484,1.000005404832402,0.13772340605146477,0.15537459487474034,0.18786278833714376,5.317858718,5.313418929485246
VOF/bubble.0163.65.obj,bubble.0163.65.obj,VOF,4.887986797581073,1.0,7.87698412359641,14.237291951005666,0.9896622942388612,1.0001160718840467,4.888045505336942,7.876953410710227,0.999883941587072,0.9999879895234598,1.0000038990818634,0.14360894041589042,0.15176415514971733,0.1745865109125564,5.304011962,5.300838189092564
VOF/bubble.0163.72.obj,bubble.0163.72.obj,VOF,5.1252047366828695,1.0,8.309857903014493,23.268320047690096,0.9381092036018552,1.0066598767836548,5.1364288628234185,8.307040181216449,0.993384183737477,0.9978147996516048,1.000339196842266,0.11664874760960732,0.19069803580634997,0.20665291455655077,5.359854444,5.34261134268115
VOF/bubble.0164.35.obj,bubble.0164.35.obj,VOF,5.4432159234335975,0.9999999999999996,9.011774425933815,31.42475742460367,0.86504097983275,1.0119157720607508,5.4683933524829165,8.999902793819881,0.9882245416172484,0.9953958269958968,1.0013190844818998,0.10055892481500509,0.23921253909397253,0.25776092946401785,5.45303442,5.413523418020519
VOF/bubble.0164.62.obj,bubble.0164.62.obj,VOF,4.934210979631457,0.9999999999999996,7.95095533673105,14.446853845167428,0.9804550333000068,1.0001217612293667,4.93428660801602,7.9509206876544605,0.9998782535946248,0.9999846728837276,1.00000435786973,0.13446722797153637,0.15914735915602887,0.1877031977735435,5.316754051,5.314213636931551
VOF/bubble.0164.71.obj,bubble.0164.71.obj,VOF,4.943338963669092,0.9999999999999996,7.955860197711725,15.58642518009992,0.9798505737548876,1.000218531137679,4.943537659105083,7.955762045372031,0.9997815166077448,0.999959807035024,1.0000123372643794,0.1439305475932498,0.14781134741096877,0.1890291178498631,5.317267729,5.314264997605438
VOF/bubble.0164.8.obj,bubble.0164.8.obj,VOF,5.106665716543498,1.0,8.30629249275423,17.738621798814226,0.938511879546952,1.001461283215597,5.109172965130364,8.305513449795033,0.9985408490172434,0.9995092652756176,1.000093798290004,0.10984264542035038,0.20725153566320742,0.21188426853177206,5.366713406,5.3568187669936815
VOF/bubble.0165.1.obj,bubble.0165.1.obj,VOF,4.976883292856238,1.0,8.045884835012728,19.37058287756485,0.9688871192287176,1.0039692739078474,4.984890420859515,8.04249456215993,0.9960464189383034,0.9983937203574684,1.0004215449356657,0.13113429224057635,0.16461226792821806,0.187321149822881,5.322991803,5.314851409172455
VOF/bubble.0165.54.obj,bubble.0165.54.obj,VOF,4.919179693983383,1.0,7.927011297287807,17.152923577256143,0.9834165597958368,1.0007516505419416,4.920994844305847,7.926368335224669,0.999248914012248,0.9996311415923218,1.0000811168540176,0.14263969781059976,0.1507875666704249,0.1798357775467608,5.309191709,5.305191178571032
VOF/bubble.0165.73.obj,bubble.0165.73.obj,VOF,4.907704770674648,1.0,7.909916075557654,16.946262164263644,0.985541958343966,1.0004368439335567,4.908247611503517,7.90970710570325,0.999563346815738,0.9998894023138528,1.0000264194175097,0.1407581791676168,0.15512397284459087,0.17488419283260764,5.306342582,5.301561744287151
