k,t,f_minnaert,f_strasberg,f_nn8,f_bem
62,1.5564853556485356,256.689256130002,263.84958680601386,263.9361485765914,263.852841
63,1.5815899581589958,256.689256130002,264.6784813982609,264.74022862867724,264.681746
64,1.606694560669456,256.689256130002,265.4564791294602,265.4763021992965,265.459841
65,1.6317991631799162,256.689256130002,266.151060996644,266.19303363341953,266.154434
66,1.6569037656903765,256.689256130002,266.7345013432123,266.79787829991653,266.737916
67,1.6820083682008369,256.689256130002,267.18597757451425,267.2691320507926,267.189409
68,1.707112970711297,256.689256130002,267.4923967651561,267.593322645689,267.495818
69,1.7322175732217573,256.689256130002,267.6487212999998,267.76614671765367,267.652169
70,1.7573221757322175,256.689256130002,267.65776395796513,267.7910775638597,267.661198
71,1.7824267782426777,256.689256130002,267.5288656133259,267.6777423268908,267.53232
72,1.8075313807531381,256.689256130002,267.2766923354412,267.4404396055932,267.280124
73,1.8326359832635983,256.689256130002,266.9192578295115,267.0969471707569,266.922686
74,1.8577405857740585,256.689256130002,266.4764817092809,266.6671290703434,266.479911
75,1.8828451882845187,256.689256130002,265.9686475997869,266.17110725295544,265.972027
76,1.907949790794979,256.689256130002,265.41510332263323,265.6275874554446,265.418443
77,1.9330543933054394,256.689256130002,264.83360813553736,265.05171458234713,264.836903
78,1.9581589958158996,256.689256130002,264.2397023812807,264.45423328123707,264.242976
79,1.9832635983263598,256.689256130002,263.6465789216532,263.8433157023514,263.649826
80,2.00836820083682,256.689256130002,263.06496622112184,263.22891418716324,263.068193
81,2.0334728033472804,256.689256130002,262.50329725466037,262.6251789136343,262.506508
82,2.0585774058577404,256.689256130002,261.96798456388376,262.0470057873937,261.971128
83,2.083682008368201,256.689256130002,261.4634159464944,261.50423852910035,261.46659
84,2.1087866108786613,256.689256130002,260.9927801840576,260.99958690188026,260.995903
85,2.1338912133891212,256.689256130002,260.5577085513607,260.5313436429292,260.560818
86,2.1589958158995817,256.689256130002,260.15890672594395,260.09720774423647,260.162093
87,2.1841004184100417,256.689256130002,259.7966566417277,259.69691851962625,259.799711
88,2.209205020920502,256.689256130002,259.46992620957354,259.3317439089885,259.473089
89,2.2343096234309625,256.689256130002,259.1782320139177,259.00329733680593,259.181246
90,2.2594142259414225,256.689256130002,258.91979259311495,258.75850783581643,258.922938
91,2.284518828451883,256.689256130002,258.69373786165613,258.5513645566818,258.696783
92,2.309623430962343,256.689256130002,258.4981948310212,258.3782968796727,258.501353
93,2.3347280334728033,256.689256130002,258.33209453102694,258.2358810871734,258.33524
94,2.3598326359832638,256.689256130002,258.19407433445195,258.12055876266214,258.197134
95,2.3849372384937237,256.689256130002,258.08282850680996,258.02915618507836,258.085852
96,2.410041841004184,256.689256130002,257.9973610108645,257.95903411794586,258.000391
97,2.435146443514644,256.689256130002,257.936791366729,257.90780785037595,257.93994
98,2.4602510460251046,256.689256130002,257.90078769135323,257.8738983375518,257.90391
99,2.485355648535565,256.689256130002,257.8887939905743,257.85597697818037,257.89194
100,2.510460251046025,256.689256130002,257.90088031998573,257.8738983375518,257.903908
101,2.5355648535564854,256.689256130002,257.9368601462822,257.90783859538436,257.939938
102,2.5606694560669454,256.689256130002,257.9973526932837,257.9590033668345,258.00039
103,2.585774058577406,256.689256130002,258.08272883040803,258.02915618507836,258.085851
104,2.6108786610878663,256.689256130002,258.1939980966225,258.1205279922956,258.197133
105,2.6359832635983262,256.689256130002,258.3322539754111,258.2359118712912,258.335241
106,2.6610878661087867,256.689256130002,258.4984306530562,258.3783584818664,258.501352
107,2.6861924686192467,256.689256130002,258.6936779895461,258.55133373495914,258.696781
108,2.711297071129707,256.689256130002,258.9198062284155,258.75850783581643,258.922934
109,2.7364016736401675,256.689256130002,259.1781412424547,259.0032664612087,259.181237
110,2.7615062761506275,256.689256130002,259.46998937270246,259.3317129942374,259.473076
111,2.786610878661088,256.689256130002,259.7965827397422,259.6968256447874,259.799693
112,2.811715481171548,256.689256130002,260.15900326221987,260.0970217082829,260.162066
113,2.8368200836820083,256.689256130002,260.557694568902,260.53100200783297,260.560782
114,2.8619246861924688,256.689256130002,260.9927632923414,260.9991824257144,260.995852
115,2.8870292887029287,256.689256130002,261.4634535605264,261.50377092350107,261.466524
116,2.912133891213389,256.689256130002,261.96794370746335,262.0465684496352,261.971043
117,2.937238493723849,256.689256130002,262.50330761687,262.62480322557104,262.5064
