series,label,plotted_in_fig4,bin,n,non_sphericity_lo,non_sphericity_hi,mape_pct,mape_pct_recomputed,sem_ape_pct,std_ape_pct,max_ape_pct,source_summary
direct,Direct-learning surrogate,True,7,10,0.13678969501744345,0.2028391731223497,0.20899362490122547,0.2089936249012224,0.05471636141548863,0.1730283273498988,0.5750351948118292,summary_direct.json:metrics_per_bin_selected.model
direct,Direct-learning surrogate,True,8,10,0.2028391731223497,0.2929345060663594,0.1889924230637378,0.1889924230637378,0.04829196278100101,0.15271259506804233,0.46134981574967104,summary_direct.json:metrics_per_bin_selected.model
direct,Direct-learning surrogate,True,9,10,0.2929345060663594,0.5986920913080976,0.5172910432258118,0.5172910432258119,0.1406868290164377,0.4448908164786095,1.409137171746977,summary_direct.json:metrics_per_bin_selected.model
minnaert_residual,Minnaert+residual net (not plotted),False,0,10,0.0019973576351399736,0.013690553276060492,0.10449658904580321,0.1044965890458049,0.00697606839461579,0.022060265240100203,0.1432988934919439,summary_minnaert.json:metrics_per_bin_selected.model
minnaert_residual,Minnaert+residual net (not plotted),False,1,10,0.013690553276060492,0.019253068177619313,0.06780553316032789,0.06780553316032789,0.006428736828997992,0.020329450857442057,0.09481098632904811,summary_minnaert.json:metrics_per_bin_selected.model
minnaert_residual,Minnaert+residual net (not plotted),False,2,10,0.019253068177619313,0.02979916089214819,0.05818895410801683,0.05818895410801685,0.011725531493080237,0.03707938629416842,0.11528093302410367,summary_minnaert.json:metrics_per_bin_selected.model
minnaert_residual,Minnaert+residual net (not plotted),False,3,10,0.02979916089214819,0.04176333886441781,0.05836956223160193,0.058369562231601925,0.013737034980649923,0.043440318836260816,0.13050141890247263,summary_minnaert.json:metrics_per_bin_selected.model
minnaert_residual,Minnaert+residual net (not plotted),False,4,10,0.04176333886441781,0.06113646722099225,0.0484382649668113,0.0484382649668113,0.006574490893565402,0.020790365679702317,0.08369041685898174,summary_minnaert.json:metrics_per_bin_selected.model
minnaert_residual,Minnaert+residual net (not plotted),False,5,10,0.06113646722099225,0.09077222642513151,0.057200519868338816,0.057200519868337185,0.0105204527238166,0.03326859262338281,0.09618348776165718,summary_minnaert.json:metrics_per_bin_selected.model
minnaert_residual,Minnaert+residual net (not plotted),False,6,10,0.09077222642513151,0.13678969501744345,0.13400309734645774,0.13400309734645777,0.03785151300394016,0.11969699397593286,0.35302402275640415,summary_minnaert.json:metrics_per_bin_selected.model
minnaert_residual,Minnaert+residual net (not plotted),False,7,10,0.13678969501744345,0.2028391731223497,0.20899575889237276,0.20899575889237276,0.05471623273123746,0.1730279204145661,0.575033357247218,summary_minnaert.json:metrics_per_bin_selected.model
minnaert_residual,Minnaert+residual net (not plotted),False,8,10,0.2028391731223497,0.2929345060663594,0.1889878454089176,0.1889878454089161,0.04828837435981132,0.15270124748387892,0.4613160863866386,summary_minnaert.json:metrics_per_bin_selected.model
minnaert_residual,Minnaert+residual net (not plotted),False,9,10,0.2929345060663594,0.5986920913080976,0.5172810653480099,0.5172810653480099,0.14068281529251506,0.44487812396911486,1.4091081709047304,summary_minnaert.json:metrics_per_bin_selected.model
