bub_id,n_solves,total_bem_s,total_assemble_s,total_solve_s,mean_f_unit_hz,median_f_unit_hz,min_f_unit_hz,max_f_unit_hz
33934,361,277.0408,269.3027,7.7381,5.3484,5.3407,4.4239,5.7649
33938,1,1.0413,1.0205,0.0207,5.3926,5.3926,5.3926,5.3926
33953,1,1.4595,1.4466,0.0129,5.3359,5.3359,5.3359,5.3359
33965,1,0.8564,0.8443,0.0121,5.3412,5.3412,5.3412,5.3412
33970,1,0.7323,0.7239,0.0084,5.326,5.326,5.326,5.326
33971,1,0.9313,0.9156,0.0157,5.3405,5.3405,5.3405,5.3405
33972,1,2.3404,2.314,0.0265,5.3272,5.3272,5.3272,5.3272
34051,1,12.8833,12.7343,0.149,5.8075,5.8075,5.8075,5.8075
34090,77,152.9149,150.9094,2.0054,5.407,5.3356,5.3041,5.8474
34091,357,203.5642,194.7891,8.7751,5.3549,5.34,5.3018,5.7742
34118,1,0.25,0.2339,0.0161,5.3502,5.3502,5.3502,5.3502
34138,1,0.3718,0.3512,0.0206,5.5347,5.5347,5.5347,5.5347
34145,1,0.501,0.4749,0.0261,5.7373,5.7373,5.7373,5.7373
34148,1,0.8777,0.8387,0.039,5.7462,5.7462,5.7462,5.7462
34149,1,0.2099,0.1985,0.0114,5.338,5.338,5.338,5.338
34155,1,1.173,1.1323,0.0408,5.5049,5.5049,5.5049,5.5049
34167,1,3.875,3.7235,0.1515,6.0176,6.0176,6.0176,6.0176
34170,1,0.312,0.2922,0.0198,5.3422,5.3422,5.3422,5.3422
34171,1,0.3692,0.3471,0.022,5.3645,5.3645,5.3645,5.3645
34177,1,3.5674,3.4436,0.1239,5.8976,5.8976,5.8976,5.8976
34178,1,0.5356,0.5051,0.0306,5.5663,5.5663,5.5663,5.5663
34187,1,10.2398,10.1126,0.1273,5.7009,5.7009,5.7009,5.7009
34190,1,0.708,0.6919,0.0161,5.3264,5.3264,5.3264,5.3264
34250,1,0.6283,0.6143,0.014,5.3328,5.3328,5.3328,5.3328
34295,1,1.2499,1.2291,0.0207,5.6024,5.6024,5.6024,5.6024
34308,7,4.846,4.7312,0.1149,5.3349,5.3302,5.3181,5.3522
34321,1,2.4032,2.3795,0.0237,5.745,5.745,5.745,5.745
34339,1,1.8766,1.8512,0.0254,5.741,5.741,5.741,5.741
34348,1,0.5629,0.5489,0.014,5.3333,5.3333,5.3333,5.3333
34361,1,0.7767,0.7624,0.0144,5.3212,5.3212,5.3212,5.3212
34362,1,0.8131,0.7928,0.0203,5.3314,5.3314,5.3314,5.3314
34365,1,0.7139,0.6987,0.0152,5.3095,5.3095,5.3095,5.3095
34366,1,0.5157,0.5022,0.0136,5.3427,5.3427,5.3427,5.3427
34367,1,0.5701,0.553,0.0172,5.338,5.338,5.338,5.338
34368,1,0.7263,0.7059,0.0204,5.3496,5.3496,5.3496,5.3496
34413,53,54.2661,52.7838,1.4823,5.3705,5.3543,5.3129,5.8093
34414,307,114.8252,108.7927,6.0326,5.3763,5.3381,5.3057,6.5234
34449,3,3.5267,3.485,0.0418,5.3335,5.3327,5.3222,5.3455
34450,275,202.7217,196.986,5.7357,5.3512,5.3373,4.617,6.0402
34500,1,0.2295,0.2204,0.0092,5.3315,5.3315,5.3315,5.3315
34501,2,0.5978,0.5606,0.0372,5.3274,5.3274,5.3251,5.3297
34503,1,0.285,0.2678,0.0171,5.3273,5.3273,5.3273,5.3273
34520,2,0.6472,0.6107,0.0365,5.3824,5.3824,5.3301,5.4347
34524,1,0.2641,0.2477,0.0164,5.3313,5.3313,5.3313,5.3313
34538,1,0.4604,0.4356,0.0248,5.3214,5.3214,5.3214,5.3214
34542,1,0.2397,0.2302,0.0095,5.355,5.355,5.355,5.355
34549,1,0.2347,0.2253,0.0094,5.3508,5.3508,5.3508,5.3508
34563,1,0.314,0.2946,0.0193,5.3462,5.3462,5.3462,5.3462
34564,1,0.498,0.4748,0.0232,5.3382,5.3382,5.3382,5.3382
34565,1,0.267,0.2491,0.0179,5.3278,5.3278,5.3278,5.3278
34566,1,0.3195,0.3007,0.0188,5.3369,5.3369,5.3369,5.3369
34567,1,0.3642,0.3432,0.021,5.3224,5.3224,5.3224,5.3224
34568,1,0.6548,0.6269,0.0278,5.3426,5.3426,5.3426,5.3426
34591,1,1.8292,1.7575,0.0716,5.6501,5.6501,5.6501,5.6501
34592,2,0.4636,0.4361,0.0275,5.4837,5.4837,5.3827,5.5847
34643,2,0.9286,0.8843,0.0444,5.4063,5.4063,5.3391,5.4735
34644,4,1.8952,1.8045,0.0907,5.3684,5.3323,5.3153,5.4939
34668,1,0.5422,0.5173,0.025,5.3226,5.3226,5.3226,5.3226
34676,1,0.4735,0.4525,0.021,5.3308,5.3308,5.3308,5.3308
34679,13,8.8937,8.5808,0.313,5.45,5.3948,5.3246,5.7282
34686,11,6.7737,6.5464,0.2273,5.3354,5.3321,5.3096,5.3698
34687,1,0.3929,0.3736,0.0193,5.3238,5.3238,5.3238,5.3238
34691,1,0.4267,0.4079,0.0189,5.3271,5.3271,5.3271,5.3271
34700,1,0.4859,0.4664,0.0195,5.608,5.608,5.608,5.608
34705,1,0.3747,0.3566,0.018,5.3442,5.3442,5.3442,5.3442
34726,6,4.4318,4.2964,0.1355,5.3378,5.3322,5.3251,5.3666
34736,36,32.371,31.8247,0.5463,5.3728,5.3343,5.3172,5.8875
34763,12,4.8327,4.5861,0.2466,5.4896,5.3406,5.3192,6.1461
34768,1,0.2059,0.196,0.0099,5.3352,5.3352,5.3352,5.3352
34784,1,0.1881,0.1716,0.0165,5.3391,5.3391,5.3391,5.3391
34816,1,0.3509,0.3256,0.0252,5.5052,5.5052,5.5052,5.5052
34831,1,0.2085,0.1989,0.0096,5.3176,5.3176,5.3176,5.3176
34846,1,0.596,0.5664,0.0296,5.3548,5.3548,5.3548,5.3548
34847,1,0.5847,0.5593,0.0254,5.3503,5.3503,5.3503,5.3503
34848,1,0.2668,0.2473,0.0196,5.3254,5.3254,5.3254,5.3254
34850,1,0.7302,0.6977,0.0325,5.4564,5.4564,5.4564,5.4564
34851,1,0.193,0.1797,0.0133,5.3363,5.3363,5.3363,5.3363
34853,258,120.644,115.5651,5.0789,5.3525,5.3343,5.3047,5.7794
34854,1,0.5247,0.5064,0.0183,5.3254,5.3254,5.3254,5.3254
34859,4,5.5367,5.4394,0.0973,5.5094,5.4838,5.3325,5.7374
34887,33,18.3779,17.5891,0.7888,5.3489,5.3427,5.319,5.545
34888,43,17.5492,16.6436,0.9055,5.4123,5.3397,5.3101,5.8653
34890,7,4.3843,4.2813,0.1031,5.3354,5.3299,5.3242,5.3606
34901,1,0.7209,0.7056,0.0153,5.3252,5.3252,5.3252,5.3252
34967,3,10.3415,10.2084,0.1331,5.4177,5.3342,5.326,5.5927
34974,2,6.9562,6.8886,0.0675,5.4725,5.4725,5.3794,5.5656
34985,135,112.706,109.2814,3.4245,5.4148,5.3424,5.3085,6.9576
34988,1,0.2401,0.2298,0.0103,5.343,5.343,5.343,5.343
34989,1,0.3606,0.3407,0.02,5.3118,5.3118,5.3118,5.3118
34993,1,0.4879,0.4656,0.0223,5.3083,5.3083,5.3083,5.3083
34999,1,0.6674,0.6413,0.0261,5.3396,5.3396,5.3396,5.3396
35006,310,195.5624,189.5082,6.0542,5.36,5.3383,5.3123,6.4318
35007,168,81.771,78.242,3.5291,5.3893,5.3348,5.3072,6.3478
35017,1,0.4495,0.423,0.0264,5.6894,5.6894,5.6894,5.6894
35023,2,1.4541,1.3928,0.0612,5.5189,5.5189,5.358,5.6797
35034,1,1.1936,1.1463,0.0473,5.612,5.612,5.612,5.612
35035,1,0.2958,0.2781,0.0177,5.3341,5.3341,5.3341,5.3341
35039,1,1.6698,1.6032,0.0666,5.7846,5.7846,5.7846,5.7846
35040,1,0.2087,0.1973,0.0114,5.3472,5.3472,5.3472,5.3472
35129,3,0.7325,0.683,0.0495,5.3275,5.3278,5.3143,5.3404
35139,3,0.6463,0.6105,0.0358,5.3527,5.3558,5.3249,5.3773
35170,4,1.0769,1.0196,0.0574,5.3373,5.3379,5.3285,5.3451
35171,2,0.7102,0.6698,0.0404,5.318,5.318,5.3169,5.3191
35174,15,6.56,6.2024,0.3576,5.7753,5.807,5.5994,5.8694
35176,1,2.6932,2.6221,0.0711,5.5851,5.5851,5.5851,5.5851
35182,148,68.2105,64.7456,3.4649,5.4005,5.3467,5.3111,6.0169
35183,2,2.2907,2.1929,0.0978,5.4945,5.4945,5.3502,5.6388
35185,1,0.4018,0.3784,0.0234,5.3415,5.3415,5.3415,5.3415
35204,1,0.2224,0.212,0.0104,5.3244,5.3244,5.3244,5.3244
35206,1,0.2175,0.2061,0.0114,5.3261,5.3261,5.3261,5.3261
35207,18,6.054,5.7823,0.2718,5.4174,5.3403,5.3245,5.8322
35211,18,16.8274,16.5509,0.2764,5.4116,5.3371,5.3241,5.9432
35212,20,16.8069,16.4773,0.3296,5.3583,5.3323,5.3091,5.769
35217,1,5.9039,5.8506,0.0533,5.8279,5.8279,5.8279,5.8279
35224,1,0.914,0.8951,0.0189,5.3406,5.3406,5.3406,5.3406
35233,3,1.7251,1.6734,0.0517,5.3371,5.3304,5.3264,5.3545
35243,204,106.5868,102.4087,4.1781,5.3643,5.3373,5.3116,5.9012
35244,252,118.6164,113.2519,5.3645,5.3395,5.3398,4.2255,5.7551
35259,21,6.7142,6.3034,0.4108,5.3824,5.337,5.3166,5.6654
35261,1,16.6942,16.4009,0.2933,5.6936,5.6936,5.6936,5.6936
35272,10,23.1106,22.9094,0.2012,5.3538,5.3346,5.3133,5.5316
35273,11,17.0856,16.9044,0.1813,5.3622,5.3293,5.3112,5.4679
35334,1,1.2589,1.2398,0.019,5.5538,5.5538,5.5538,5.5538
35358,1,1.1948,1.1776,0.0172,5.3685,5.3685,5.3685,5.3685
35359,1,1.5452,1.5241,0.0211,5.3372,5.3372,5.3372,5.3372
35362,1,0.8829,0.8703,0.0126,5.3978,5.3978,5.3978,5.3978
35367,1,1.3214,1.3017,0.0196,5.4999,5.4999,5.4999,5.4999
35368,1,0.8672,0.8514,0.0158,5.3785,5.3785,5.3785,5.3785
35369,1,1.3028,1.2859,0.0169,5.3387,5.3387,5.3387,5.3387
35370,1,0.9827,0.9665,0.0162,5.3233,5.3233,5.3233,5.3233
35373,3,50.8982,49.8719,1.0263,5.7044,5.7129,5.686,5.7141
35393,1,6.1843,6.1443,0.04,5.7756,5.7756,5.7756,5.7756
35428,1,0.5475,0.5298,0.0177,5.3209,5.3209,5.3209,5.3209
35439,27,50.5713,50.0249,0.5465,5.4188,5.3379,5.3118,6.0448
35490,1,0.6329,0.6167,0.0162,5.3335,5.3335,5.3335,5.3335
35505,1,0.7602,0.7452,0.0151,5.3523,5.3523,5.3523,5.3523
35527,1,1.1828,1.1617,0.0211,5.326,5.326,5.326,5.326
35533,6,7.142,7.0146,0.1274,5.3497,5.3288,5.3209,5.4552
35537,2,1.6854,1.6548,0.0307,5.4147,5.4147,5.3203,5.5092
35542,1,0.5855,0.5701,0.0154,5.3244,5.3244,5.3244,5.3244
35543,1,0.5429,0.5264,0.0166,5.4528,5.4528,5.4528,5.4528
35545,1,0.4857,0.4709,0.0148,5.3347,5.3347,5.3347,5.3347
35602,1,0.5993,0.5821,0.0172,5.3426,5.3426,5.3426,5.3426
35612,3,2.3707,2.3143,0.0564,5.3497,5.3463,5.3394,5.3633
35622,1,1.077,1.0577,0.0193,5.33,5.33,5.33,5.33
35639,6,4.8196,4.7133,0.1064,5.3591,5.3492,5.3213,5.4294
35641,1,0.5234,0.5072,0.0162,5.3268,5.3268,5.3268,5.3268
35654,4,2.9379,2.8685,0.0693,5.3508,5.3496,5.3283,5.3758
35678,1,0.9742,0.9558,0.0184,5.35,5.35,5.35,5.35
35679,1,1.5656,1.5388,0.0268,5.331,5.331,5.331,5.331
35680,1,0.5309,0.5156,0.0153,5.329,5.329,5.329,5.329
35681,1,0.5581,0.5415,0.0166,5.3833,5.3833,5.3833,5.3833
35682,1,0.5803,0.5624,0.0179,5.3193,5.3193,5.3193,5.3193
35688,104,212.4238,207.9689,4.4549,5.484,5.3753,5.3077,6.3579
35695,1,0.7695,0.7507,0.0188,5.3978,5.3978,5.3978,5.3978
35737,47,29.5466,28.529,1.0176,5.3619,5.347,5.3197,5.5916
35741,7,3.2589,3.0596,0.1992,5.3541,5.3316,5.3221,5.4865
35742,7,6.4736,6.2094,0.2642,5.4144,5.3441,5.3201,5.5342
35746,9,3.187,3.0188,0.1681,5.3614,5.3504,5.3183,5.4801
35760,9,11.1678,10.9047,0.2631,5.3827,5.3269,5.3099,5.53
35783,6,5.677,5.5138,0.1632,5.3361,5.3417,5.3163,5.3516
35784,2,1.5131,1.4637,0.0494,5.3801,5.3801,5.3225,5.4378
35799,1,0.3087,0.2917,0.017,5.3279,5.3279,5.3279,5.3279
35817,1,0.2643,0.2483,0.016,5.3484,5.3484,5.3484,5.3484
35844,1,0.3525,0.3331,0.0194,5.35,5.35,5.35,5.35
35845,5,1.68,1.5795,0.1005,5.3511,5.355,5.3238,5.3683
35846,1,0.2913,0.2727,0.0186,5.3337,5.3337,5.3337,5.3337
35851,1,0.359,0.3375,0.0214,5.3103,5.3103,5.3103,5.3103
35852,1,0.3689,0.3465,0.0224,5.3443,5.3443,5.3443,5.3443
35860,1,0.3305,0.3103,0.0202,5.3794,5.3794,5.3794,5.3794
35866,1,0.2906,0.2729,0.0178,5.3292,5.3292,5.3292,5.3292
35876,3,2.0819,2.0022,0.0797,5.3493,5.3462,5.3419,5.3599
35877,3,0.8931,0.8491,0.044,5.3347,5.3312,5.3309,5.3419
35920,2,0.6858,0.635,0.0507,5.3577,5.3577,5.3401,5.3753
35921,2,0.4756,0.453,0.0226,5.3394,5.3394,5.3343,5.3444
35931,1,0.2336,0.2242,0.0095,5.3311,5.3311,5.3311,5.3311
35941,121,45.769,43.2922,2.4769,5.3553,5.3376,5.3097,5.7851
35942,2,0.8452,0.8019,0.0433,5.3557,5.3557,5.3545,5.3569
35946,1,0.3956,0.3739,0.0217,5.3444,5.3444,5.3444,5.3444
35959,1,0.3228,0.3019,0.0208,5.3446,5.3446,5.3446,5.3446
35961,1,0.2366,0.2257,0.0109,5.3402,5.3402,5.3402,5.3402
35979,1,0.2084,0.1941,0.0143,5.3356,5.3356,5.3356,5.3356
35982,1,0.4918,0.4638,0.028,5.7494,5.7494,5.7494,5.7494
35983,1,0.2272,0.2169,0.0103,5.3338,5.3338,5.3338,5.3338
35999,1,0.465,0.4405,0.0244,5.3653,5.3653,5.3653,5.3653
36021,1,0.3078,0.287,0.0207,5.3286,5.3286,5.3286,5.3286
36072,52,18.6799,17.5201,1.1598,5.4107,5.3338,5.3113,6.5703
36081,1,0.3128,0.2975,0.0153,5.3327,5.3327,5.3327,5.3327
36097,1,0.5038,0.4817,0.0221,5.3233,5.3233,5.3233,5.3233
36098,1,0.592,0.5686,0.0234,5.3274,5.3274,5.3274,5.3274
36103,1,0.4062,0.3889,0.0173,5.3214,5.3214,5.3214,5.3214
36123,5,2.6392,2.5363,0.1029,5.355,5.3386,5.3251,5.3973
36127,1,0.6828,0.659,0.0238,5.3697,5.3697,5.3697,5.3697
36132,21,17.9702,17.3975,0.5727,5.3921,5.3309,5.3128,5.6214
36133,9,6.9997,6.7595,0.2402,5.4174,5.3765,5.3371,5.5576
36214,1,0.7884,0.762,0.0265,5.4607,5.4607,5.4607,5.4607
36215,2,0.887,0.8429,0.0441,5.3557,5.3557,5.3273,5.3841
36225,3,0.8421,0.7892,0.0528,5.3234,5.3252,5.313,5.332
36226,1,0.3212,0.3018,0.0193,5.3286,5.3286,5.3286,5.3286
36229,7,5.6834,5.5425,0.1409,5.3393,5.3356,5.3266,5.3538
36249,260,186.6799,181.6063,5.0736,5.3541,5.3406,5.3082,5.8425
